#Rank Country #EPI Score# #10-Year Percent Change# #Environmental Health# #Ecosystem Vitality# #EH - Health Impacts# #EH - Air Quality# #EH -Water and Sanitation# #EV - Water Resources# #EV - Agriculture# #EV - Forests# #EV - Fisheries# #EV- Biodiversity and Habitat# #EV - Climate and Energy# #Child Mortality# #Household Air Quality# #Air Pollution - Average Exposure to PM2.5# #Air Pollution - Average PM2.5 Exceedance# #Access to Sanitation# #Access to Drinking Water# #Wastewater Treatment# #Agricultural Subsidies# #Pesticide Regulation# #Change in Forest Cover # #Fish Stocks# #Coastal Shelf Fishing Pressure# #Terrestrial Protected Areas (National Biome Weights)# #Terrestrial Protected Areas (Global Biome Weights)# #Marine Protected Areas# #Critical Habitat Protection# #Trend in Carbon Intensity# #Change of Trend in Carbon Intensity# #Trend in CO2 Emissions per KwH# #Access to Electricity#
1 Switzerland 87.67 0.8 92.19 84.67 100 76.56 100 96.95 49.24 49.65 NA 100 78.14 100 95 78.21 56.47 100 100 96.95 6.48 92 49.65 NA NA 100 100 NA NA 67.91 38.47 98.63 100
2 Luxembourg 83.29 3.02 92.26 77.31 94.79 81.98 100 95 65.33 33.76 NA 100 56.75 94.79 95 85.84 65.11 100 100 95 38.67 92 33.76 NA NA 100 100 NA NA 65.21 54.4 39.86 100
3 Australia 82.4 2.32 99.44 71.03 100 98.33 100 92.33 66.46 100 19.37 83.08 47.67 100 95 100 100 100 100 92.33 56.91 76 100 24.1 14.65 72.06 70.97 99.29 90 44.55 31.12 53.98 100
4 Singapore 81.78 0.94 99.44 70.01 100 98.33 100 99.65 96 NA 0 46.33 86.85 100 95 100 100 100 100 99.65 NA 96 NA 0 0 28.47 28.47 82.04 NA 90 0 81.37 73
5 Czech Republic 81.47 3.47 90.63 75.35 100 73.99 97.91 75.68 67.07 45.05 NA 98.35 65.82 100 100 74.48 47.48 99.87 95.95 75.68 38.14 96 45.05 NA NA 98.35 98.41 NA NA 77.62 30.98 54.43 100
6 Germany 80.47 1.89 92.83 72.23 100 78.5 100 95.18 65.31 31.35 13.4 100 62.77 100 95 82.24 58.27 100 100 95.18 38.62 92 31.35 8.33 18.46 100 100 100 NA 65.24 27.82 58.26 100
7 Spain 79.79 1.82 97.63 67.89 96.17 97.37 99.33 92.83 65.19 45.05 23.24 56.56 81.84 96.17 95 100 97.12 99.76 98.91 92.83 38.38 92 45.05 21.69 24.8 50.34 46.11 73.21 NA 77.96 69.8 89.97 100
8 Austria 78.32 1.82 92.15 69.11 100 76.45 100 79.05 65.49 19.87 NA 86.59 62.09 100 95 78.96 55.4 100 100 79.05 38.98 92 19.87 NA NA 86.59 93.99 NA NA 54.7 51.19 76.91 100
9 Sweden 78.09 1.3 99.04 64.12 100 97.13 100 87.86 65.18 14.35 25.3 62.38 77.34 100 95 100 96.4 100 100 87.86 38.35 92 14.35 11.76 38.83 47.29 50.31 89.54 NA 77.67 29.51 76.93 100
10 Norway 78.04 2.79 99.44 63.77 100 98.33 100 77.05 46.6 32.52 20.88 71.68 75.65 100 95 100 100 100 100 77.05 1.19 92 32.52 14.86 26.9 76.31 78.34 60.41 NA 65.82 15.48 95.33 100
11 Netherlands 77.75 4.62 91.86 68.35 100 75.57 100 98.82 65.36 33.76 0 94.69 53.32 100 95 78.48 53.24 100 100 98.82 34.73 96 33.76 0 0 100 100 84.08 NA 51.32 23.74 57.54 100
12 UnitedKingdom# 77.35 3.48 98.61 63.18 100 95.82 100 97.93 66.03 43.06 0 70.11 54.24 100 95 100 92.45 100 100 97.93 36.07 96 43.06 0 0 100 100 80.43 0 57.37 24.81 48.64 100
13 Denmark 76.92 4.3 97.61 63.12 100 92.82 100 93.45 66.06 18.52 8.66 67.74 67.22 100 95 100 83.45 100 100 93.45 40.11 92 18.52 10.31 7.02 74.74 74.74 53.74 NA 68.22 45.65 65.31 100
14 Iceland 76.5 2.99 98.77 61.65 97.97 98.33 100 51.94 50.62 NA 16.71 81.9 71.31 97.97 95 100 100 100 100 51.94 5.24 96 NA 9.6 23.81 85.77 91.53 68.38 NA 57.21 42.29 99.77 100
15 Slovenia 76.43 15.16 91.37 66.47 100 78.13 95.96 53.99 63.43 45.05 NA 100 54.59 100 96 80.49 57.91 100 91.92 53.99 34.86 92 45.05 NA NA 100 100 NA NA 54.68 21.68 58.47 100
