ID,1,2,3,4,5,6,7,8,Finales sobre 5
200814869,0,1,1,1,1,1,0,1,"3,75"
201512777,0,0,0,1,0,0,0,1,"1,25"
201613163,0,0,0,1,1,0,0,0,"1,25"
201613222,0,0,0,0,1,0,0,0,"0,625"
201531067,0,0,0,1,0,0,0,1,"1,25"
201620754,0,0,0,1,1,0,0,0,"1,25"
201423499,0,0,0,1,0,0,0,1,"1,25"
201615104,0,0,0,1,0,0,0,0,"0,625"
201623999,0,0,0,1,0,0,0,0,"0,625"
201514441,0,0,0,1,0,0,0,0,"0,625"
201616268,0,0,0,1,0,0,0,1,"1,25"
201513645,0,0,0,1,1,0,0,0,"1,25"
201515360,0,0,0,0,0,0,0,1,"0,625"
201316966,0,0,0,1,0,0,0,0,"0,625"
