ID de alumno,Diagnostico (/5),Taller 3 (/5),Taller 8 (/5),Taller 9 (/5),Final (/5),Definitiva
201512756,5,0,2.5,2,1.875,2.275
201519648,5,3.5,0,2.3,2.5,2.66
201613444,5,5,5,5,5,5
201514994,5,5,5,5,3.4375,4.6875
201224021,5,0,4.5,4.8,5,3.86
201619132,5,5,5,5,3.125,4.625
201511835,5,5,1.7,3.5,1.25,3.29
201631487,5,5,5,5,4.0625,4.8125
201615563,5,3,4.3,4,1.875,3.635
201616584,5,5,5,4.8,2.5,4.46
201514616,5,4.7,0,2.5,1.875,2.815
201512298,5,3,5,5,2.1875,4.0375
201023855,5,0,0,0,0,1
201617653,5,5,5,5,2.5,4.5
201617671,5,5,5,5,1.875,4.375
201216512,5,5,5,5,2.5,4.5
201414968,5,5,0,0,2.8125,2.5625
201618246,5,3.7,2.5,2.4,2.1875,3.1575
